Hops,Time to Compute,Traveled,Ping
5,0.493492,18984877.169816613,63.32673417844982
5,0.50149,18641342.29565257,62.18082517610973
5,0.472992,18299229.573105276,61.039659960974056
5,0.504492,17866313.310999773,59.595606738682484
5,0.496492,17321280.55247651,57.77757313705222
5,0.493494,18014949.912562575,60.09140507712634
5,0.508991,18923997.841078393,63.12366259502672
5,0.504506,17965138.445711736,59.92525190731195
5,0.49999,17737787.92297746,59.16689218816586
5,0.500511,17842458.71807529,59.516036381099894
5,0.494992,17172819.23425646,57.28235948090855
5,0.480015,17748086.220530372,59.20124361144822
5,0.488991,18010630.947024927,60.07699855871265
5,0.520492,18809255.544011176,62.74092348745151
5,0.476491,17979387.40499169,59.97278131972637
5,0.504992,17731809.582255796,59.146950589896754
5,0.504995,17743098.25791844,59.18460555898191
5,0.474493,18246862.848469514,60.86498336859255
5,0.471503,17541262.051165048,58.511352437651226
5,0.474492,17385837.38326368,57.99291154699263
5,0.485503,16857061.363716412,56.22910458999813
5,0.505992,18353032.051539548,61.21912571255478
5,0.476501,17337922.068652317,57.83308326028163
5,0.508492,18266632.856663868,60.930929017986585
5,0.493992,17322343.17585934,57.78111766714817
5,0.497492,18148687.07090005,60.537504222254505
5,0.496005,18166365.334449816,60.59647256250443
5,0.503492,18635317.030081466,62.16072705339012
5,0.497993,17277611.169937957,57.6319077553371
5,0.506491,17601080.56698114,58.71088553002528
5,0.483992,17840769.618546616,59.5104021515025
5,0.50499,18785401.713285647,62.66135567229099
5,0.500491,17431494.077068523,58.14520588559614
5,0.477991,17069654.932851776,56.93824041006481
5,0.499996,18081270.268427238,60.31262597357433
5,0.493991,17508269.860249113,58.40130233380226
5,0.483991,18635991.7673797,62.16297773476896
5,0.467992,17514615.01768845,58.42246750094489
5,0.509991,18408852.26915129,61.4053219176112
5,0.477491,17571584.273000415,58.612496483235105
5,0.497492,18407498.233363815,61.40080534035791
5,0.483992,17026568.47498513,56.79451945577019
5,0.475492,17983491.083211906,59.9864697169428
5,0.499991,17363748.81100782,57.91923200031365
5,0.481491,17233878.60478906,57.486031619118066
5,0.494991,17982172.07534622,59.982069980260675
5,0.496492,17219480.65041414,57.438005212559915
5,0.484993,17555265.73310725,58.55806369292778
5,0.50999,17406480.636785273,58.061770029280765
5,0.487491,17215890.487360347,57.426029717573506
5,0.490492,17546034.057314184,58.52727013689158
5,0.498991,17618568.906465244,58.76922035177978
5,0.499991,18774024.356259033,62.62340489401452
5,0.494502,17264467.51080648,57.58806522738677
5,0.490991,17736665.41126715,59.1631478921109
5,0.475508,18186728.55225229,60.66439694617362
5,0.49149,18535999.962887347,61.82944097461661
