werkzeug - INFO -  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:58] "POST /socket.io/?EIO=3&transport=polling&t=Mb7FQv_&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:58] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQwD&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:58] "POST /socket.io/?EIO=3&transport=polling&t=Mb7FQwZ&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:58] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQwo&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:58] "POST /socket.io/?EIO=3&transport=polling&t=Mb7FQxV&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:58] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQxj&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:58] "POST /socket.io/?EIO=3&transport=polling&t=Mb7FQyH&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:58] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQyu&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:58] "POST /socket.io/?EIO=3&transport=polling&t=Mb7FQz6&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:58] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQzw&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:58] "POST /socket.io/?EIO=3&transport=polling&t=Mb7FQ-f&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:58] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQ_9&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:58] "POST /socket.io/?EIO=3&transport=polling&t=Mb7FQ_-&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
